日期,code,收盘价
2021-10-25,sh.000300,4979.5235
2021-10-26,sh.000300,4963.0984
2021-10-27,sh.000300,4898.1644
2021-10-28,sh.000300,4864.138
2021-10-29,sh.000300,4908.7701
2021-11-01,sh.000300,4890.6851
2021-11-02,sh.000300,4839.8457
2021-11-03,sh.000300,4821.1119
2021-11-04,sh.000300,4868.7419
2021-11-05,sh.000300,4842.3458
2021-11-08,sh.000300,4848.1795
2021-11-09,sh.000300,4846.7444
2021-11-10,sh.000300,4821.1925
2021-11-11,sh.000300,4898.6529
2021-11-12,sh.000300,4888.3749
2021-11-15,sh.000300,4882.3777
2021-11-16,sh.000300,4883.3206
2021-11-17,sh.000300,4885.7544
2021-11-18,sh.000300,4837.6185
2021-11-19,sh.000300,4890.0575
2021-11-22,sh.000300,4912.399
2021-11-23,sh.000300,4913.3457
2021-11-24,sh.000300,4916.6579
2021-11-25,sh.000300,4896.4416
2021-11-26,sh.000300,4860.1265
2021-11-29,sh.000300,4851.423
2021-11-30,sh.000300,4832.026
2021-12-01,sh.000300,4843.851
2021-12-02,sh.000300,4856.163
2021-12-03,sh.000300,4901.0175
2021-12-06,sh.000300,4892.6209
2021-12-07,sh.000300,4922.1015
2021-12-08,sh.000300,4995.9298
2021-12-09,sh.000300,5078.6901
2021-12-10,sh.000300,5055.1172
2021-12-13,sh.000300,5083.8007
2021-12-14,sh.000300,5049.6953
2021-12-15,sh.000300,5005.8991
2021-12-16,sh.000300,5034.7321
2021-12-17,sh.000300,4954.7599
2021-12-20,sh.000300,4880.4178
2021-12-21,sh.000300,4913.4853
2021-12-22,sh.000300,4914.4544
2021-12-23,sh.000300,4948.7389
2021-12-24,sh.000300,4921.3449
2021-12-27,sh.000300,4919.3238
2021-12-28,sh.000300,4955.9644
2021-12-29,sh.000300,4883.4804
2021-12-30,sh.000300,4921.5109
2021-12-31,sh.000300,4940.3733
2022-01-04,sh.000300,4917.7653
2022-01-05,sh.000300,4868.1202
2022-01-06,sh.000300,4818.2318
2022-01-07,sh.000300,4822.3689
2022-01-10,sh.000300,4844.0451
2022-01-11,sh.000300,4797.7735
2022-01-12,sh.000300,4845.5787
2022-01-13,sh.000300,4765.9191
2022-01-14,sh.000300,4726.7317
2022-01-17,sh.000300,4767.2762
2022-01-18,sh.000300,4813.3472
2022-01-19,sh.000300,4780.3784
2022-01-20,sh.000300,4823.5091
2022-01-21,sh.000300,4779.3142
2022-01-24,sh.000300,4786.7377
2022-01-25,sh.000300,4678.4511
2022-01-26,sh.000300,4712.3109
2022-01-27,sh.000300,4619.8765
2022-01-28,sh.000300,4563.772
2022-02-07,sh.000300,4634.0899
2022-02-08,sh.000300,4608.7729
2022-02-09,sh.000300,4652.0609
2022-02-10,sh.000300,4639.8625
2022-02-11,sh.000300,4601.3953
2022-02-14,sh.000300,4551.6878
2022-02-15,sh.000300,4600.1025
2022-02-16,sh.000300,4617.9893
2022-02-17,sh.000300,4629.1649
2022-02-18,sh.000300,4651.2358
2022-02-21,sh.000300,4634.3141
2022-02-22,sh.000300,4574.1527
2022-02-23,sh.000300,4623.0465
2022-02-24,sh.000300,4529.3189
2022-02-25,sh.000300,4573.4247
2022-02-28,sh.000300,4581.6459
2022-03-01,sh.000300,4619.6862
2022-03-02,sh.000300,4578.6007
2022-03-03,sh.000300,4551.6283
2022-03-04,sh.000300,4496.4301
2022-03-07,sh.000300,4352.7775
2022-03-08,sh.000300,4265.391
2022-03-09,sh.000300,4226.3463
2022-03-10,sh.000300,4292.8374
2022-03-11,sh.000300,4306.5217
2022-03-14,sh.000300,4174.7577
2022-03-15,sh.000300,3983.812
2022-03-16,sh.000300,4156.081
2022-03-17,sh.000300,4237.6956
2022-03-18,sh.000300,4265.9017
2022-03-21,sh.000300,4258.7459
2022-03-22,sh.000300,4255.295
2022-03-23,sh.000300,4276.5174
2022-03-24,sh.000300,4251.3061
2022-03-25,sh.000300,4174.5742
2022-03-28,sh.000300,4148.4663
2022-03-29,sh.000300,4134.1441
